No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
2,WISEA J233740.21+001641.0,23h37m40.2129s,+00d16m41.005s,354.4175538,0.2780572,G,81448.5803211548,0.27168322,SLS,0.127768269919326,15,0,39,12,6,4,0,0,0,1
3,WISEA J233741.62+001624.4,23h37m41.6280s,+00d16m24.485s,354.4234502,0.2734681,G,83411.0367408457,0.27822927,SLS,0.320759521610697,10,0,54,10,8,8,0,0,0,2
4,WISEA J233739.73+001617.0,23h37m39.7342s,+00d16m17.041s,354.4155595,0.2714004,G,83101.0603330474,0.2771953,SLS,0.382988183604975,37,0,71,15,14,10,1,0,1,2
5,WISEA J233739.18+001627.0,23h37m39.1827s,+00d16m27.047s,354.4132615,0.2741798,G,136132.75725322,0.45409,SLS,0.384439915108205,5,0,27,5,3,4,0,0,0,1
7,SDSS J233742.48+001637.9,23h37m42.4864s,+00d16m37.959s,354.427026878,0.2772108407,G,175126.76226528,0.58416,SLS,0.472740046709204,2,0,17,2,1,4,0,0,0,1
17,SDSS J233738.07+001602.3,23h37m38.0808s,+00d16m02.277s,354.40867,0.26729942,G,81860.5671086367,0.27305746,SLS,0.844107298587277,5,0,35,6,7,8,0,0,0,1
18,SDSS J233740.86+001544.8,23h37m40.8672s,+00d15m44.899s,354.42028,0.26247206,G,83042.0671731622,0.27699852,SLS,0.854292278628603,4,0,15,5,4,4,0,0,0,1
19,SDSS J233743.07+001713.9,23h37m43.0780s,+00d17m13.901s,354.4294918491,0.2871949823,G,241443.85189946,0.80537,SLS,0.88477854492425,2,0,19,2,1,3,0,0,0,1
20,WISEA J233739.46+001730.1,23h37m39.4611s,+00d17m30.194s,354.4144216,0.2917208,G,178862.17629196,0.59662,SLS,0.947052860058263,2,0,31,3,1,4,0,0,0,1
25,WISEA J233741.30+001743.9,23h37m41.3057s,+00d17m43.931s,354.4221072,0.2955364,QSO,228675.04955738,0.76277786,SLS,1.14584884861705,24,0,53,13,10,4,0,0,0,1
38,WISEA J233742.29+001814.1,23h37m42.2958s,+00d18m14.183s,354.4262328,0.3039398,G,35852.3599276948,0.1195906,SLS,1.69041813106458,21,0,63,9,8,10,1,0,1,1
41,SDSS J233735.27+001750.1,23h37m35.2751s,+00d17m50.111s,354.3969798801,0.2972532535,G,232111.31268192,0.77424,SLS,1.81597488394947,2,0,18,2,1,3,0,0,0,1
47,SDSS J233732.81+001634.1,23h37m32.8152s,+00d16m34.197s,354.38673,0.27616583333,G,81291.72291128,0.27116,SLS,1.94640533190871,4,0,5,3,2,0,0,0,0,1
52,SDSS J233747.75+001752.0,23h37m47.7576s,+00d17m52.093s,354.4489902823,0.2978036341,G,185370.67055514,0.61833,SLS,2.1932450609179,3,0,15,3,1,4,0,0,0,1
64,WISEA J233736.81+001907.7,23h37m36.8112s,+00d19m07.793s,354.4033802,0.3188314,G,133103.684236834,0.4439861,SLS,2.70137863196082,6,0,27,5,3,4,0,0,0,1
67,SDSS J233736.28+001908.4,23h37m36.2864s,+00d19m08.494s,354.4011935788,0.3190263346,G,172944.27317104,0.57688,SLS,2.76088829468906,2,0,15,1,1,4,0,0,0,1
69,SDSS J233748.10+001420.9,23h37m48.1044s,+00d14m20.940s,354.450435,0.23915,G,81963.2580172,0.2734,SUN,2.93030639951062,3,0,1,3,2,0,0,0,0,1
94,WISEA J233739.78+002047.2,23h37m39.7891s,+00d20m47.241s,354.4157882,0.3464559,G,81506.1164896941,0.27187514,SLS,4.19225733279402,2,0,36,7,2,4,0,0,0,1
97,WISEA J233723.61+001621.4,23h37m23.6120s,+00d16m21.403s,354.3483835,0.2726122,G,84177.8309002952,0.28078702,SLS,4.25389879449952,7,0,43,9,6,4,0,0,0,1
101,WISEA J233750.67+002014.7,23h37m50.6928s,+00d20m15.024s,354.46122,0.33750685,G,79612.88514648,0.26556,SLS,4.43755289586819,2,0,31,5,2,4,0,0,0,1
103,SDSS J233738.72+001205.7,23h37m38.7312s,+00d12m05.713s,354.41138,0.201587,G,79558.9734687579,0.26538017,SLS,4.52894146058134,4,0,15,4,3,4,0,0,0,1
109,WISEA J233754.61+001329.4,23h37m54.6129s,+00d13m29.412s,354.4775539,0.2248368,G,83281.0467310568,0.27779567,SLS,4.68436192258011,7,0,39,9,8,4,0,0,0,1
116,WISEA J233744.12+002128.2,23h37m44.1207s,+00d21m28.281s,354.4338365,0.357856,G,19993.9402831655,0.066692606,SLS,4.95023900765088,26,0,72,12,7,10,0,1,1,1
120,SDSS J233746.27+001139.0,23h37m46.2864s,+00d11m39.286s,354.44286,0.19424624,G,138523.301713727,0.462063998,SUN,5.14550087884336,10,0,38,9,9,8,0,0,0,1
124,SDSS J233740.84+001118.2,23h37m40.8443s,+00d11m18.259s,354.420184622,0.188405327,G,156176.8809951,0.52095,SLS,5.29603258382536,3,0,5,2,2,4,0,0,0,1
125,GALEXMSC J233801.45+001529.4,23h38m01.3790s,+00d15m27.680s,354.50574583333,0.25768888889,G,80551.23554002,0.26869,SLS,5.31803006459578,2,0,4,2,1,0,0,0,0,1
127,SDSS J233800.84+001837.1,23h38m00.8427s,+00d18m37.155s,354.5035115845,0.3103208285,G,210697.13740698,0.70281,SLS,5.4486119234616,2,0,19,2,1,4,0,0,0,1
132,WISEA J233803.82+001513.4,23h38m03.8234s,+00d15m13.444s,354.5159311,0.2537345,G,81770.5874002926,0.27275732,SLS,5.96662275463543,5,0,33,6,4,4,0,0,0,1
149,SDSS J233725.76+002205.5,23h37m25.7688s,+00d22m05.592s,354.3573703085,0.3682199907,G,143540.6288904,0.4788,SLS,6.6273988971013,2,0,15,1,1,4,0,0,0,1
157,WISEA J233724.51+002203.7,23h37m24.5041s,+00d22m01.758s,354.3521005861,0.3671552557,G,137829.5825655,0.45975,SLS,6.75789995606292,2,0,27,2,1,4,0,0,0,1
158,WIG S00J233714997+00141652,23h37m14.9969s,+00d14m16.519s,354.31248708333,0.23792194444,G,141696.9052737,0.47265,SLS,6.80978663907122,2,0,0,1,1,0,0,0,0,1
159,WISEA J233736.43+000950.5,23h37m36.4385s,+00d09m50.556s,354.4018272,0.1640435,QSO,340103.181466842,1.1344621,SLS,6.8370066524911,48,0,78,20,28,8,0,1,0,1
160,WISEA J233802.47+002044.0,23h38m02.4717s,+00d20m44.061s,354.5102988,0.3455726,*,13.1791591579679,4.3960943e-05,SLS,6.85494675841829,0,0,23,4,1,4,0,0,0,1
165,WISEA J233716.62+002012.4,23h37m16.6427s,+00d20m12.296s,354.3193446078,0.3367490588,G,143330.7741698,0.4781,SLS,6.9904603129727,2,0,31,3,1,4,0,0,0,1
166,WISEA J233712.63+001639.6,23h37m12.6337s,+00d16m39.687s,354.3026407,0.277691,G,63482.8937071921,0.21175614,SLS,6.99174232121383,8,0,64,10,6,8,0,0,0,1
169,SDSS J233721.77+002150.0,23h37m21.7769s,+00d21m50.056s,354.3407372491,0.3639045971,G,160592.82390144,0.53568,SLS,7.03854634783051,2,0,19,2,1,4,0,0,0,1
174,WISEA J233737.96+002354.3,23h37m37.9663s,+00d23m54.507s,354.4081932035,0.3984741865,G,139484.43693366,0.46527,SLS,7.33804740496275,2,0,31,3,1,4,0,0,0,1
177,WISEA J233715.38+001239.0,23h37m15.3878s,+00d12m39.051s,354.314116,0.2108476,*,31.3379996542803,0.000104532315,SLS,7.43796191170317,0,0,23,4,1,3,0,0,0,1
179,SDSS J233724.94+002300.1,23h37m24.9432s,+00d23m00.135s,354.35393,0.383371,G,2732.39450264745,0.009114287,SLS,7.5039557052006,1,0,16,4,2,4,0,0,0,1
180,SDSS J233754.12+002318.5,23h37m54.1278s,+00d23m18.571s,354.475532787,0.3884920189,G,101338.84457774,0.33803,SLS,7.51365521644802,2,0,15,1,1,3,0,0,0,1
181,WISEA J233726.14+002315.8,23h37m26.2224s,+00d23m15.925s,354.35926,0.387757,G,2737.9481579319,0.009132812,SLS,7.57278472707943,3,0,17,7,3,0,0,0,0,1
183,WISEA J233722.02+002239.0,23h37m22.0292s,+00d22m39.052s,354.3417884,0.3775145,QSO,413850.867006518,1.3804579,SLS,7.62672336035716,50,0,64,19,27,9,0,1,0,1
185,WISEA J233745.34+002411.0,23h37m45.3421s,+00d24m11.037s,354.4389258,0.403066,QSO,458320.07161677,1.5287912,SLS,7.67606236348818,30,0,43,14,14,4,0,0,0,1
186,GALEXMSC J233809.03+001946.7,23h38m08.9870s,+00d19m45.490s,354.53744583333,0.32930277778,G,307476.13869854,1.02563,SLS,7.76765874527333,2,0,4,2,1,0,0,0,0,1
189,SDSS J233709.65+001751.8,23h37m09.6505s,+00d17m51.809s,354.290210791,0.2977247477,G,90723.19363996,0.30262,SLS,7.83973543577081,2,0,15,1,1,4,0,0,0,1
194,WISEA J233810.16+001341.2,23h38m10.1665s,+00d13m41.288s,354.5423608,0.2281357,G,150909.047840107,0.5033784,SLS,7.9444554582221,9,0,47,6,5,8,0,0,0,1
199,UGC 12709,23h37m23.9112s,+00d23m30.671s,354.34963,0.39185317,G,2683.1424991,0.00895,S1L,8.07286638618596,93,2,77,29,21,13,2,18,10,3
207,GALEXASC J233707.85+001518.1,23h37m07.8161s,+00d15m17.240s,354.28256708333,0.25478888889,G,138770.93088362,0.46289,SLS,8.30033665754859,2,0,8,3,1,0,0,0,0,1
209,2MASX J23375274+0024211,23h37m52.7311s,+00d24m21.636s,354.469713,0.40601,G,26817.1938430187,0.08945253,SLS,8.3321282649884,19,0,80,14,9,10,0,0,1,1
210,SDSS J233721.65+002329.2,23h37m21.6600s,+00d23m29.338s,354.34025,0.391483,G,2652.90693074841,0.008849145,SLS,8.35927409475807,3,0,16,6,3,4,0,0,0,1
214,WISEA J233810.11+002051.3,23h38m10.1031s,+00d20m50.588s,354.542096634,0.3473857938,G,55209.77906528,0.18416,SLS,8.50912084319944,2,0,31,3,1,4,0,0,0,1
215,SDSS J233808.70+002130.9,23h38m08.7038s,+00d21m30.948s,354.5362661443,0.3585968607,G,109957.87774524,0.36678,SLS,8.5748452336784,2,0,15,1,1,4,0,0,0,1
216,WISEA J233809.81+001203.7,23h38m09.8132s,+00d12m03.765s,354.5408886,0.201046,G,34769.92927884,0.11598,SLS,8.59791223276429,15,0,48,8,6,6,1,0,1,1
218,WISEA J233722.04+002359.7,23h37m22.0400s,+00d23m59.752s,354.3418336,0.3999311,G,90987.011003,0.3035,SLS,8.7308355855131,1,0,12,3,2,0,0,0,0,1
219,WISEA J233811.52+002045.5,23h38m11.4900s,+00d20m45.430s,354.547875,0.34595277778,QSO,83587.8843118199,0.27881917,SLS,8.77025285969715,28,0,99,20,15,12,0,1,0,2
224,WISEA J233756.46+000830.4,23h37m56.4628s,+00d08m30.472s,354.4852617,0.1417978,G,21642.01754302,0.07219,SLS,9.0116151021686,12,0,62,9,4,8,0,0,0,1
225,WISEA J233708.14+001241.0,23h37m08.0650s,+00d12m41.288s,354.28360416667,0.21146888889,G,275203.48059484,0.91798,SLS,9.02548153147445,2,0,12,2,1,0,0,0,0,1
227,WISEA J233707.21+002007.1,23h37m07.2408s,+00d20m06.889s,354.28017,0.33524718,QSO,571028.18541321,1.904745,SLS,9.05009634333109,41,0,27,18,21,3,0,1,0,1
230,WISEA J233749.81+000742.3,23h37m49.8106s,+00d07m42.331s,354.4575443,0.1284253,G,52361.75071428,0.17466,SLS,9.18770876798976,6,0,56,9,6,8,0,0,0,2
231,SDSS J233708.78+002112.4,23h37m08.7806s,+00d21m12.495s,354.2865859779,0.353470854,G,108512.87809768,0.36196,SLS,9.19312209134863,2,0,9,2,1,3,0,0,0,1
233,WISEA J233732.27+000736.6,23h37m32.2746s,+00d07m36.656s,354.3844775,0.1268489,G,55491.4940380626,0.1850997,SLS,9.22687660136966,2,0,41,8,2,4,0,0,0,1
236,SDSS J233712.73+002244.5,23h37m12.7322s,+00d22m44.551s,354.3030508623,0.3790421605,G,90909.06496392,0.30324,SLS,9.28802352022771,2,0,15,1,1,4,0,0,0,1
241,SDSS J233748.94+002549.1,23h37m48.9498s,+00d25m49.109s,354.4539576909,0.4303082012,G,92722.80933482,0.30929,SLS,9.45187496594164,2,0,19,2,1,4,0,0,0,1
