No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,GALEXASC J233740.70+001636.1,23h37m40.7328s,+00d16m36.984s,354.419720003397,0.27694005837849,UvS,,,,0.0370348585615537,0,0,7,2,0,0,0,0,0,0
2,WISEA J233740.74+001635.6,23h37m40.7482s,+00d16m35.666s,354.4197845,0.276574,VisS,,,,0.0374881148597288,3,0,23,4,0,3,0,0,0,0
3,ABELL 2631,23h37m40.9400s,+00d16m33.600s,354.420583333333,0.276,GClstr,83012.5316202,0.2769,SST,0.0939440426624135,153,0,1,38,53,0,1,0,0,0
4,WISEA J233740.21+001641.0,23h37m40.2129s,+00d16m41.005s,354.4175538,0.2780572,G,81448.5803211548,0.27168322,SLS,0.127768516378963,15,0,39,12,6,4,0,0,0,1
5,NVSS J233740+001646,23h37m40.4800s,+00d16m46.100s,354.41866666667,0.27947222222,RadioS,,,,0.170985337464626,0,0,1,1,0,0,0,0,0,0
6,SDSS J233741.00+001627.4,23h37m41.0098s,+00d16m27.412s,354.4208744454,0.2742813345,G,,,,0.176020482473662,0,0,15,1,0,4,0,0,0,0
7,SDSS J233740.57+001624.9,23h37m40.5724s,+00d16m24.905s,354.4190516937,0.2735848779,*,,,,0.185035412374483,0,0,5,1,0,4,0,0,0,0
8,SDSS J233740.16+001647.6,23h37m40.1643s,+00d16m47.672s,354.4173515609,0.2799090704,G,,,,0.222950786944506,0,0,15,1,0,4,0,0,0,0
9,SDSS J233740.47+001620.0,23h37m40.4730s,+00d16m20.039s,354.4186375279,0.2722332935,G,,,,0.267889412946816,0,0,15,1,0,4,0,0,0,0
10,WISEA J233741.62+001624.4,23h37m41.6280s,+00d16m24.485s,354.4234502,0.2734681,G,83411.0367408457,0.27822927,SLS,0.320759308903626,10,0,54,10,8,8,0,0,0,2
11,SDSS J233741.82+001628.7,23h37m41.8256s,+00d16m28.799s,354.4242733493,0.2746663782,*,,,,0.329068203502917,0,0,5,1,0,4,0,0,0,0
12,SSTSL2 J233741.95+001644.4,23h37m41.9541s,+00d16m44.495s,354.4248091,0.2790266,IrS,,,,0.366964504788581,0,0,2,1,0,0,0,0,0,0
13,WISEA J233739.73+001617.0,23h37m39.7342s,+00d16m17.041s,354.4155595,0.2714004,G,83101.0603330474,0.2771953,SLS,0.38298788897886,36,0,71,14,13,10,1,0,1,2
14,WISEA J233739.18+001627.0,23h37m39.1827s,+00d16m27.047s,354.4132615,0.2741798,G,136132.75725322,0.45409,SLS,0.384439778590307,5,0,27,5,3,4,0,0,0,1
15,SPIDERS 2_21271,23h37m39.7272s,+00d16m16.932s,354.41553,0.27137,GClstr,83941.88824,0.28,PUN,0.385493182054821,18,0,0,15,17,0,0,0,0,0
16,SDSS J233740.56+001659.5,23h37m40.5616s,+00d16m59.512s,354.4190067004,0.2831980058,G,,,,0.391998169736615,0,0,15,1,0,4,0,0,0,0
