No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
2,WISEA J234338.26+001945.4,23h43m38.2664s,+00d19m45.499s,355.9094434,0.3293055,G,81671.859748024,0.272428,SUN,0.369924293732246,7,0,53,8,7,8,0,0,0,1
17,WISEA J234337.42+001952.5,23h43m37.4592s,+00d19m52.372s,355.90608,0.3312147,G,79987.4548372789,0.26680943,SLS,0.560653779475704,0,0,27,3,1,4,0,0,0,1
61,WISEA J234335.67+001951.4,23h43m35.6734s,+00d19m51.470s,355.8986392,0.330964,G,80741.004165934,0.269323,SUN,1.00665774010076,6,0,34,9,5,4,0,0,0,1
79,WISEA J234340.82+001844.7,23h43m40.8223s,+00d18m44.784s,355.9200932,0.3124402,G,81479.992574904,0.271788,SUN,1.13870033826315,4,0,32,6,3,4,0,0,0,1
132,WISEA J234334.66+002037.3,23h43m34.6613s,+00d20m37.390s,355.8944222,0.3437196,G,80562.927445882,0.268729,SUN,1.47800516950904,9,0,55,10,7,8,0,0,0,1
212,SDSS J234342.69+001756.5,23h43m42.6986s,+00d17m56.524s,355.9279109638,0.2990346598,G,143302.803533469,0.4780067,SUN,2.0499114062334,3,0,19,3,2,4,0,0,0,1
238,GALEXASC J234342.89+002151.3,23h43m43.0020s,+00d21m54.061s,355.929175,0.36501694444,G,160231.963719745,0.5344763,SUN,2.21090488642769,3,0,8,4,2,0,0,0,0,1
275,SDSS J234346.52+002135.6,23h43m46.5232s,+00d21m35.600s,355.9438469849,0.3598891187,G,160131.14351612,0.53414,SLS,2.43905417636992,2,0,23,3,1,4,0,0,0,1
379,WISEA J234337.38+002249.2,23h43m37.3807s,+00d22m49.278s,355.9057532,0.3803552,G,54785.872529668,0.182746,SLS,3.02735094813113,1,0,42,7,1,4,0,0,0,1
527,WISEA J234326.77+002137.0,23h43m26.7782s,+00d21m37.075s,355.8615762,0.3602986,G,20719.9458799494,0.0691143,SLS,3.68249722345743,20,0,85,11,9,10,0,0,1,1
554,WISEA J234332.33+002313.2,23h43m32.3382s,+00d23m13.261s,355.8847427,0.387017,G,107109.951323676,0.35728034,SLS,3.84068208496624,2,0,27,3,1,4,0,0,0,1
690,SDSS J234343.53+001529.2,23h43m43.5376s,+00d15m29.242s,355.931407008,0.2581230255,G,281630.880998131,0.9394195,SUN,4.46686827706766,4,0,22,5,3,4,0,0,0,1
699,WISEA J234321.69+001933.1,23h43m21.6940s,+00d19m33.184s,355.8403919,0.3258846,G,80294.91298843,0.267835,SUN,4.51119037783926,11,0,54,9,8,8,0,0,0,1
713,WISEA J234345.95+001534.3,23h43m45.9541s,+00d15m34.366s,355.9414758,0.2595463,G,77732.8416734933,0.25928885,SLS,4.55403766539258,6,0,42,10,4,4,0,0,0,1
795,2MASS J23434752+0015241,23h43m47.5368s,+00d15m24.028s,355.94807,0.25667444,G,79987.026134064,0.266808,SUN,4.86176198141994,7,0,20,7,6,4,0,0,0,1
877,SDSS J234347.28+001501.1,23h43m47.2824s,+00d15m01.116s,355.94701,0.25031,*,27.2339803077532,9.084278e-05,SLS,5.18995655306041,0,0,9,3,1,4,0,0,0,1
897,WISEA J234331.27+001502.8,23h43m31.1301s,+00d15m02.887s,355.8797088006,0.2508020409,G,138624.0325792,0.4624,SLS,5.25814410950822,2,0,35,4,1,4,0,0,0,1
966,WISEA J234318.72+001810.5,23h43m18.7214s,+00d18m10.533s,355.8280061,0.3029259,G,18101.9926512566,0.060381748,SLS,5.50536755357091,2,0,36,7,2,4,0,0,0,1
