No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,WISEA J234340.60+001953.6,23h43m40.6066s,+00d19m53.672s,355.9191945,0.3315756,G,82692.053482598,0.275831,SUN,0.231039695762865,2,0,27,4,2,4,0,0,0,0
2,WISEA J234338.26+001945.4,23h43m38.2664s,+00d19m45.499s,355.9094434,0.3293055,G,81671.859748024,0.272428,SUN,0.369888880097497,7,0,53,8,7,8,0,0,0,1
3,SDSS J234339.21+001929.4,23h43m39.2102s,+00d19m29.466s,355.9133761344,0.3248517551,G,,,,0.379187630327055,0,0,15,1,0,4,0,0,0,0
4,1RXS J234338.4+001937,23h43m38.4000s,+00d19m37.000s,355.91,0.32694444444,XrayS,,,,0.400048787669823,2,0,0,1,0,0,0,0,0,0
5,SDSS J234339.28+002016.3,23h43m39.2803s,+00d20m16.323s,355.9136679684,0.3378677102,G,,,,0.434900415102083,0,0,15,1,0,4,0,0,0,0
6,SDSS J234339.04+001926.7,23h43m39.0425s,+00d19m26.797s,355.9126774295,0.3241103128,G,,,,0.435560659257513,0,0,15,1,0,4,0,0,0,0
7,SDSS J234340.94+002009.9,23h43m40.9480s,+00d20m09.981s,355.9206168893,0.3361060534,G,,,,0.444365771945633,0,0,15,1,0,4,0,0,0,0
8,WISEA J234340.91+002011.1,23h43m40.9111s,+00d20m11.113s,355.9204633,0.3364203,G,81456.60876318,0.27171,SUN,0.451752357721388,2,0,33,5,3,4,0,0,0,0
9,GALEXMSC J234338.26+001934.0,23h43m38.2637s,+00d19m34.055s,355.909432222624,0.326126392476325,UvS,,,,0.456786398796471,0,0,4,1,0,0,0,0,0,0
10,SDSS J234338.15+001935.5,23h43m38.1573s,+00d19m35.564s,355.9089889509,0.32654566,G,82748.114672244,0.276018,SUN,0.463553717287475,2,0,15,3,2,4,0,0,0,0
11,SDSS J234338.85+001925.9,23h43m38.8584s,+00d19m25.982s,355.9119102169,0.3238838764,G,,,,0.467016665322133,0,0,15,1,0,4,0,0,0,0
12,SDSS J234338.24+001932.5,23h43m38.2445s,+00d19m32.547s,355.9093523003,0.3257076434,G,,,,0.476384895507846,0,0,15,1,0,4,0,0,0,0
13,SDSS J234340.24+001920.7,23h43m40.2447s,+00d19m20.786s,355.9176866445,0.3224406843,G,,,,0.521660774585776,0,0,15,1,0,3,0,0,0,0
14,SDSS J234341.63+002005.5,23h43m41.6364s,+00d20m05.521s,355.9234850586,0.3348670105,G,,,,0.541259626116662,0,0,19,2,0,4,0,0,0,0
15,2XMM J234340.8+001923,23h43m40.8701s,+00d19m23.116s,355.92029208333,0.32308777778,XrayS,,,,0.549150894128677,0,0,0,1,0,0,0,0,0,0
16,ZwCl 2341.1+0000:[GDW2019] 123,23h43m41.2789s,+00d19m27.561s,355.9219958,0.3243227,G,138339.139806363,0.4614497,SUN,0.555381810218557,1,0,0,1,1,0,0,0,0,0
17,WISEA J234337.42+001952.5,23h43m37.4592s,+00d19m52.372s,355.90608,0.3312147,G,79987.4548372789,0.26680943,SLS,0.560617897532749,0,0,27,3,1,4,0,0,0,1
18,WISEA J234339.58+002025.4,23h43m39.6866s,+00d20m25.981s,355.9153608548,0.3405504564,G,92053.6425893182,0.3070579,SUN,0.583038773899116,1,0,27,3,1,4,0,0,0,0
19,ZwCl 2341.1+0000:[GDW2019] 122,23h43m41.2755s,+00d20m16.984s,355.9219815,0.33805115,G,81457.7479745204,0.2717138,SUN,0.585428092329437,1,0,0,1,1,0,0,0,0,0
20,SDSS J234342.04+001946.1,23h43m42.0459s,+00d19m46.115s,355.925191357,0.3294765658,G,,,,0.592133917542822,0,0,15,1,0,4,0,0,0,0
21,WISEA J234338.17+002020.4,23h43m38.1657s,+00d20m20.489s,355.9090240925,0.3390249014,G,,,,0.623415356165325,0,0,27,2,0,4,0,0,0,0
22,WISEA J234342.22+001946.1,23h43m42.2239s,+00d19m46.168s,355.9259333,0.3294911,G,,,,0.636145532418089,0,0,27,2,0,4,0,0,0,0
23,SDSS J234338.63+001915.6,23h43m38.6343s,+00d19m15.622s,355.9109764124,0.3210063692,G,,,,0.646993300133107,0,0,15,1,0,4,0,0,0,0
24,SDSS J234340.51+002029.2,23h43m40.5173s,+00d20m29.290s,355.9188223808,0.3414696208,G,,,,0.670107203958976,1,0,15,1,0,4,0,0,0,0
25,[BGB2013] Wav-NNW,23h43m37.2000s,+00d19m33.000s,355.905,0.32583333333,GClstr,,,,0.693225054042088,1,0,0,1,0,0,0,0,0,0
26,WISEA J234339.67+001909.2,23h43m39.6708s,+00d19m09.280s,355.915295,0.3192446,IrS,,,,0.695359899126583,0,0,12,1,0,0,0,0,0,0
27,WHL J234340.7+002030,23h43m40.7000s,+00d20m30.000s,355.91958333333,0.34166666667,GClstr,68952.26534,0.23,PUN,0.696434095418452,3,0,0,2,4,0,0,0,0,0
28,[BGB2013] NNW NED02,23h43m36.9000s,+00d19m52.000s,355.90375,0.33111111111,GClstr,,,,0.700146766108074,1,0,0,1,0,0,0,0,0,0
29,WISEA J234340.72+002030.1,23h43m40.7259s,+00d20m30.133s,355.9196915,0.3417036,G,78234.1995906296,0.2609612,SLS,0.700852116885927,16,0,52,15,10,4,0,1,0,3
30,WISEA J234340.71+001912.1,23h43m40.7354s,+00d19m11.838s,355.9197309305,0.3199551548,G,,,,0.702159131245579,0,0,27,2,0,3,0,0,0,0
31,SDSS J234342.49+001943.9,23h43m42.4900s,+00d19m43.900s,355.92704166667,0.32886111111,G,80863.01969634,0.26973,SUN,0.707494331889231,3,0,15,4,3,4,0,0,0,0
32,WISEA J234341.56+001918.4,23h43m41.5646s,+00d19m18.477s,355.9231862,0.3217992,G,79236.5556739526,0.2643047,SUN,0.714954854533954,3,0,27,5,3,4,0,0,0,0
33,PSZRX G089.50-58.08,23h43m41.4991s,+00d19m17.421s,355.922913,0.321506,XrayS,80943.96366,0.27,SUN,0.718001507567446,1,0,0,1,1,0,0,0,0,0
34,GALEXASC J234341.62+001918.6,23h43m41.7248s,+00d19m18.387s,355.923853383295,0.32177438338332,UvS,,,,0.742767763892383,0,0,8,2,0,0,0,0,0,0
35,WISEA J234338.86+001907.6,23h43m38.9057s,+00d19m07.119s,355.9121073628,0.3186441926,G,82425.238194978,0.274941,SUN,0.757809896634277,2,0,27,4,2,4,0,0,0,0
36,[BWG2017] J234341.29+002030.23,23h43m41.2834s,+00d20m30.291s,355.9220143,0.34174754,G,82535.561819522,0.275309,SUN,0.765221611804615,2,0,0,2,2,0,0,0,0,0
37,SDSS J234340.22+002036.8,23h43m40.2295s,+00d20m36.858s,355.9176231133,0.3435717328,G,,,,0.775693148325427,0,0,15,1,0,4,0,0,0,0
38,2XMM J234337.4+001917,23h43m37.4606s,+00d19m17.976s,355.90608583333,0.32166,XrayS,,,,0.785057342508474,0,0,0,1,0,0,0,0,0,0
39,[YWF2017] J355.90601+00.32168,23h43m37.4444s,+00d19m18.075s,355.90601849,0.32168761,QSO,419709.4412,1.4,PUN,0.786787338130959,1,0,0,1,1,0,0,0,0,0
40,SDSS J234341.20+001909.0,23h43m41.2043s,+00d19m09.034s,355.9216847615,0.319176292,G,,,,0.794137890505475,0,0,15,1,0,3,0,0,0,0
